eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2000,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2001,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2002,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2003,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2004,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2005,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2006,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2007,157.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2008,152.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2009,145,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2010,139.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2011,135.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2012,132,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2013,126.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2014,123.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2015,119.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2016,117.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2017,143,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2018,145.6,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2019,148,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2020,130.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2021,115.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2022,109.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EU27_2020,European Union - 27 countries (from 2020),2023,107.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2000,166.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2001,163.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2002,161.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2003,158.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2004,156.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2005,155.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2006,153.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2007,152.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2008,147.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2009,142.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2010,133.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2011,127.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2012,128,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2013,124,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2014,121.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2015,117.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2016,115.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2017,140.5,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2018,144.7,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2019,147.3,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2020,130.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2021,117,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2022,104.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BE,Belgium,2023,85.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2000,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2001,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2002,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2003,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2004,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2005,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2006,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2007,171.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2008,171.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2009,172.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2010,158.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2011,151.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2012,149.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2013,141.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2014,135.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2015,130.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2016,125.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2017,153,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2018,153.6,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2019,157.8,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2020,147.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2021,139.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2022,134.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,BG,Bulgaria,2023,129.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2000,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2001,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2002,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2003,,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2004,154,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2005,155.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2006,154.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2007,154.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2008,154.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2009,155.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2010,148.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2011,144.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2012,140.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2013,134.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2014,131.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2015,126.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2016,121.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2017,150.4,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2018,152.7,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2019,156,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2020,144.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2021,138.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2022,137.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,CZ,Czechia,2023,136,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2000,175.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2001,172.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2002,170,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2003,169,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2004,165.9,
