year,Agriculture,Buildings,Fuel Exploitation,Industrial Combustion,Power Industry,Processes,Transport,Waste,Total emission
2010,122225544,3333734499,2397195662,6089336191,12522037999,2503616029,7019794762,15701366,34003642052
2011,130654267,3265964615,2413009225,6316525841,13125537412,2655171551,7136255024,16456244,35059574179
2012,133739714,3231364026,2463489074,6335986931,13403960838,2741092682,7196357493,15722920,35521713678
2013,137279671,3349873315,2504344000,6363803070,13643025527,2823533612,7381145838,18133250,36221138283
2014,134226490,3292241800,2467043337,6427768194,13701006521,2885736359,7503541798,16205214,36427769713
2015,137430842,3317820036,2538315670,6291930366,13402260199,2857509771,7737749406,17450161,36300466451
2016,136881733,3350071430,2453051282,6149898902,13456932307,2972851865,7886811618,17161562,36423660699
2017,134630190,3421028200,2513881441,6078265670,13770780134,3032311280,8079339780,17235337,37047472032
2018,135033471,3434208760,2577432661,6213440460,14217022443,3105910409,8273933170,17572512,37974553886
2019,140318447,3379672884,2710319161,6249927999,14088010103,3198010779,8282478750,17696023,38066434146
2020,146296999,3322845716,2550733474,6194010467,13593464512,3236342133,7092902472,17712270,36154308043
2021,143249643,3375472567,2620872505,6341355734,14655450459,3332169704,7634704951,17739419,38121014982
2022,143092059,3385633419,2619237844,6223606468,14693366676,3220326194,7943501403,17859999,38246624062
2023,143618297,3413532730,2666415660,6406821386,14923933097,3212573553,8239044960,17997356,39023937039
